gs,,,,,,,,,,,,
,,,,,,,,,,,,
Station,Date(NZST),Time(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
Christchurch Aero,20171018,800,19.2,24,7.7,24,7.5,24,-,-,-,D
Christchurch Aero,20171019,800,13.3,24,3.5,24,-0.2,24,-,-,-,D
Christchurch Aero,20171020,800,21.6,24,4.7,24,2,24,-,-,-,D
Christchurch Aero,20171021,800,15.5,24,9.8,24,8,24,-,-,-,D
Christchurch Aero,20171022,800,21.3,24,4.8,24,0.6,24,-,-,-,D
Christchurch Aero,20171023,800,20.9,24,7.5,24,4.6,24,-,-,-,D
Christchurch Aero,20171024,800,18.8,24,8.1,24,5.2,24,-,-,-,D
Christchurch Aero,20171025,800,17.6,24,4.1,24,0.6,24,-,-,-,D
Christchurch Aero,20171026,800,19.8,24,5.4,24,2.5,24,-,-,-,D
Christchurch Aero,20171027,800,15.4,24,9.2,24,8.4,24,-,-,-,D
Christchurch Aero,20171028,800,15.9,24,5.3,24,1.1,24,-,-,-,D
Christchurch Aero,20171029,800,17.6,24,12,24,10.2,24,-,-,-,D
Christchurch Aero,20171030,800,19.3,24,6.6,24,3.7,24,-,-,-,D
Christchurch Aero,20171031,800,25.5,24,7.3,24,4.8,24,-,-,-,D
Christchurch Aero,20171101,800,23.3,24,14,24,13,24,-,-,-,D
Christchurch Aero,20171102,800,18.8,24,8.6,24,5.3,24,-,-,-,D
Christchurch Aero,20171103,800,22.9,24,12.6,24,8.8,24,-,-,-,D
Christchurch Aero,20171104,800,26.4,24,16.5,24,11.2,24,-,-,-,D
Christchurch Aero,20171105,800,25.2,24,10.7,24,6,24,-,-,-,D
Christchurch Aero,20171106,800,20.6,24,3.5,24,-1.4,24,-,-,-,D
Christchurch Aero,20171107,800,17.2,24,-1.1,24,-4.5,24,-,-,-,D
Christchurch Aero,20171108,800,20.9,24,6.8,24,7.3,24,-,-,-,D
Christchurch Aero,20171109,800,15.5,24,3,24,-3,24,-,-,-,D
Christchurch Aero,20171110,800,20.7,24,8.1,24,5,24,-,-,-,D
Christchurch Aero,20171111,800,15.7,24,3.9,24,0,24,-,-,-,D
Christchurch Aero,20171112,800,16.5,24,7.2,24,3.4,24,-,-,-,D
Christchurch Aero,20171113,800,15.5,24,7.9,24,7,24,-,-,-,D
Christchurch Aero,20171114,800,15.8,24,6.9,24,4.5,24,-,-,-,D
Christchurch Aero,20171115,800,17.3,24,1.4,24,-2.4,24,-,-,-,D
Christchurch Aero,20171116,800,17.8,24,6.4,24,0.4,24,-,-,-,D
Christchurch Aero,20171117,800,19.7,24,9.3,24,5.5,24,-,-,-,D
Christchurch Aero,20171118,800,19.7,24,10.1,24,10.2,24,-,-,-,D
Christchurch Aero,20171119,800,17.5,24,3.2,24,-1.3,24,-,-,-,D
Christchurch Aero,20171120,800,21.2,24,6.1,24,2.3,24,-,-,-,D
Christchurch Aero,20171121,800,19.5,24,12,24,9.7,24,-,-,-,D
Christchurch Aero,20171122,800,19.3,24,7,24,2.7,24,-,-,-,D
Christchurch Aero,20171123,800,21.5,24,8.1,24,4.4,24,-,-,-,D
Christchurch Aero,20171124,800,21.1,24,13.5,24,14,24,-,-,-,D
Christchurch Aero,20171125,800,19.7,24,10.2,24,7,24,-,-,-,D
Christchurch Aero,20171126,800,21.3,24,13.2,24,13.5,24,-,-,-,D
Christchurch Aero,20171127,800,19.1,24,13.9,24,12.6,24,-,-,-,D
Christchurch Aero,20171128,800,23.1,24,14.7,24,13.2,24,-,-,-,D
Christchurch Aero,20171129,800,20.5,24,14,24,11.8,24,-,-,-,D
Christchurch Aero,20171130,800,20.3,24,14.4,24,14.3,24,-,-,-,D
Christchurch Aero,20171201,800,23.1,24,15.1,24,13.7,24,-,-,-,D
Christchurch Aero,20171202,800,24,24,9.1,24,5.6,24,-,-,-,D
Christchurch Aero,20171203,800,30.4,24,12.2,24,8.1,24,-,-,-,D
Christchurch Aero,20171204,800,28,24,13.4,24,10,24,-,-,-,D
Christchurch Aero,20171205,800,26.7,24,10.1,24,6.1,24,-,-,-,D
Christchurch Aero,20171206,800,30.7,24,11.2,24,8,24,-,-,-,D
Christchurch Aero,20171207,800,22.5,24,16.4,24,16.4,24,-,-,-,D
Christchurch Aero,20171208,800,22.6,24,14.4,24,8.6,24,-,-,-,D
Christchurch Aero,20171209,800,32.5,24,15.2,24,10.6,24,-,-,-,D
Christchurch Aero,20171210,800,31,24,19,24,16.2,24,-,-,-,D
Christchurch Aero,20171211,800,30.5,24,8.2,24,4.2,24,-,-,-,D
Christchurch Aero,20171212,800,28.3,24,13.9,24,12.8,24,-,-,-,D
Christchurch Aero,20171213,800,18.2,24,11.8,24,10.2,24,-,-,-,D
Christchurch Aero,20171214,800,18.9,24,7.8,24,5,24,-,-,-,D
Christchurch Aero,20171215,800,20.8,24,10.8,24,7,24,-,-,-,D
Christchurch Aero,20171216,800,25,24,14.2,24,12.8,24,-,-,-,D
Christchurch Aero,20171217,800,25.8,24,15.9,24,14.1,24,-,-,-,D
Christchurch Aero,20171218,800,27.7,24,12.6,24,10.9,24,-,-,-,D
Christchurch Aero,20171219,800,19.4,24,11.8,24,11,24,-,-,-,D
Christchurch Aero,20171220,800,24.9,24,11,24,9.1,24,-,-,-,D
Christchurch Aero,20171221,800,18.9,24,9.6,24,8.4,24,-,-,-,D
Christchurch Aero,20171222,800,19.7,24,12.9,24,12.5,24,-,-,-,D
Christchurch Aero,20171223,800,20.5,24,13.7,24,11.9,24,-,-,-,D
Christchurch Aero,20171224,800,21.3,24,15.6,24,14.6,24,-,-,-,D
Christchurch Aero,20171225,800,25.4,24,9.1,24,4.8,24,-,-,-,D
Christchurch Aero,20171226,800,30.9,24,11.7,24,10.8,24,-,-,-,D
Christchurch Aero,20171227,800,14.5,24,9,24,8.3,24,-,-,-,D
Christchurch Aero,20171228,800,16.6,24,8.8,24,5.5,24,-,-,-,D
Christchurch Aero,20171229,800,18.7,24,5.4,24,1.9,24,-,-,-,D
Christchurch Aero,20171230,800,20,24,11.5,24,9.3,24,-,-,-,D
Christchurch Aero,20171231,800,20.8,24,13.8,24,10.7,24,-,-,-,D
Christchurch Aero,20180101,800,28.8,24,13.1,24,12.9,24,-,-,-,D
Christchurch Aero,20180102,800,22.4,24,15.2,24,15.5,24,-,-,-,D
Christchurch Aero,20180103,800,25.1,24,16.2,24,16.7,24,-,-,-,D
Christchurch Aero,20180104,800,24.8,24,15.5,24,13.2,24,-,-,-,D
Christchurch Aero,20180105,800,24.4,24,15.4,24,15.3,24,-,-,-,D
Christchurch Aero,20180106,800,17.3,24,13.5,24,12.2,24,-,-,-,D
Christchurch Aero,20180107,800,17.9,24,9.7,24,7.3,24,-,-,-,D
Christchurch Aero,20180108,800,24.3,24,11,24,8.9,24,-,-,-,D
